Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20210518,ATVI,517440,3866,1398840,B,Q,N
20210524,ATVI,131305,1123,646741,B,Q,N
20210525,ATVI,153655,237,701334,B,Q,N
20210519,ATVI,317871,1747,1051253,B,Q,N
20210527,ATVI,305605,10032,942298,B,Q,N
20210526,ATVI,203686,627,783475,B,Q,N
20210517,ATVI,375646,1992,1058507,B,Q,N
20210503,ATVI,405225,2164,1839099,B,Q,N
20210514,ATVI,247969,22663,860870,B,Q,N
20210528,ATVI,232712,1423,780683,B,Q,N
20210505,ATVI,1483159,6760,4162028,B,Q,N
20210511,ATVI,519185,949,1438259,B,Q,N
20210510,ATVI,442856,7871,1720336,B,Q,N
20210504,ATVI,928262,27798,4489561,B,Q,N
20210512,ATVI,367640,3494,1429045,B,Q,N
20210507,ATVI,620570,2689,1637831,B,Q,N
20210513,ATVI,249202,276,895934,B,Q,N
20210521,ATVI,417237,1960,940178,B,Q,N
20210520,ATVI,301327,1536,1030093,B,Q,N
20210518,ATVI,517440,3866,1398840,B,Q,N
20210524,ATVI,131305,1123,646741,B,Q,N
20210525,ATVI,153655,237,701334,B,Q,N
20210519,ATVI,317871,1747,1051253,B,Q,N
20210527,ATVI,305605,10032,942298,B,Q,N
20210526,ATVI,203686,627,783475,B,Q,N
20210517,ATVI,375646,1992,1058507,B,Q,N
20210503,ATVI,405225,2164,1839099,B,Q,N
20210514,ATVI,247969,22663,860870,B,Q,N
20210528,ATVI,232712,1423,780683,B,Q,N
20210505,ATVI,1483159,6760,4162028,B,Q,N
20210511,ATVI,519185,949,1438259,B,Q,N
20210510,ATVI,442856,7871,1720336,B,Q,N
20210504,ATVI,928262,27798,4489561,B,Q,N
20210512,ATVI,367640,3494,1429045,B,Q,N
20210507,ATVI,620570,2689,1637831,B,Q,N
20210513,ATVI,249202,276,895934,B,Q,N
20210521,ATVI,417237,1960,940178,B,Q,N
20210520,ATVI,301327,1536,1030093,B,Q,N
20210518,ATVI,517440,3866,1398840,B,Q,N
20210524,ATVI,131305,1123,646741,B,Q,N
20210525,ATVI,153655,237,701334,B,Q,N
20210519,ATVI,317871,1747,1051253,B,Q,N
20210527,ATVI,305605,10032,942298,B,Q,N
20210526,ATVI,203686,627,783475,B,Q,N
20210517,ATVI,375646,1992,1058507,B,Q,N
20210503,ATVI,405225,2164,1839099,B,Q,N
20210514,ATVI,247969,22663,860870,B,Q,N
20210528,ATVI,232712,1423,780683,B,Q,N
20210505,ATVI,1483159,6760,4162028,B,Q,N
20210511,ATVI,519185,949,1438259,B,Q,N
20210510,ATVI,442856,7871,1720336,B,Q,N
20210504,ATVI,928262,27798,4489561,B,Q,N
20210512,ATVI,367640,3494,1429045,B,Q,N
20210507,ATVI,620570,2689,1637831,B,Q,N
20210513,ATVI,249202,276,895934,B,Q,N
20210521,ATVI,417237,1960,940178,B,Q,N
20210520,ATVI,301327,1536,1030093,B,Q,N
20210518,ATVI,517440,3866,1398840,B,Q,N
20210524,ATVI,131305,1123,646741,B,Q,N
20210525,ATVI,153655,237,701334,B,Q,N
20210519,ATVI,317871,1747,1051253,B,Q,N
20210527,ATVI,305605,10032,942298,B,Q,N
20210526,ATVI,203686,627,783475,B,Q,N
20210517,ATVI,375646,1992,1058507,B,Q,N
20210503,ATVI,405225,2164,1839099,B,Q,N
20210514,ATVI,247969,22663,860870,B,Q,N
20210528,ATVI,232712,1423,780683,B,Q,N
20210505,ATVI,1483159,6760,4162028,B,Q,N
20210511,ATVI,519185,949,1438259,B,Q,N
20210510,ATVI,442856,7871,1720336,B,Q,N
20210504,ATVI,928262,27798,4489561,B,Q,N
20210512,ATVI,367640,3494,1429045,B,Q,N
20210507,ATVI,620570,2689,1637831,B,Q,N
20210513,ATVI,249202,276,895934,B,Q,N
20210521,ATVI,417237,1960,940178,B,Q,N
20210520,ATVI,301327,1536,1030093,B,Q,N
20210518,ATVI,517440,3866,1398840,B,Q,N
20210524,ATVI,131305,1123,646741,B,Q,N
20210525,ATVI,153655,237,701334,B,Q,N
20210519,ATVI,317871,1747,1051253,B,Q,N
20210527,ATVI,305605,10032,942298,B,Q,N
20210526,ATVI,203686,627,783475,B,Q,N
20210517,ATVI,375646,1992,1058507,B,Q,N
20210503,ATVI,405225,2164,1839099,B,Q,N
20210514,ATVI,247969,22663,860870,B,Q,N
20210528,ATVI,232712,1423,780683,B,Q,N
20210505,ATVI,1483159,6760,4162028,B,Q,N
20210511,ATVI,519185,949,1438259,B,Q,N
20210510,ATVI,442856,7871,1720336,B,Q,N
20210504,ATVI,928262,27798,4489561,B,Q,N
20210512,ATVI,367640,3494,1429045,B,Q,N
20210507,ATVI,620570,2689,1637831,B,Q,N
20210513,ATVI,249202,276,895934,B,Q,N
20210324,ATVI,387885,250,1217991,B,Q,N
20210330,ATVI,410241,490,1332013,B,Q,N
20210318,ATVI,405943,1141,2054240,B,Q,N
20210319,ATVI,461804,395,1415996,B,Q,N
20210331,ATVI,251267,7318,961005,B,Q,N
20210325,ATVI,489750,6039,1029238,B,Q,N
20210326,ATVI,381205,1200,1775416,B,Q,N
20210322,ATVI,259943,6,927881,B,Q,N
20210323,ATVI,203107,358,1314747,B,Q,N
20210309,ATVI,366657,2973,1454504,B,Q,N
20210308,ATVI,481010,6755,1834561,B,Q,N
20210305,ATVI,613590,6957,1764070,B,Q,N
20210311,ATVI,248626,705,1022428,B,Q,N
20210310,ATVI,270554,354,1073907,B,Q,N
20210304,ATVI,640435,2472,1623422,B,Q,N
20210312,ATVI,235930,165,684223,B,Q,N
20210317,ATVI,380911,112,1338622,B,Q,N
20210303,ATVI,381056,6717,1388848,B,Q,N
20210302,ATVI,246712,4482,1016527,B,Q,N
20210316,ATVI,229586,1168,1160759,B,Q,N
20210315,ATVI,269080,4300,747507,B,Q,N
20210301,ATVI,604797,6259,1366855,B,Q,N
